REGIME,MODEL,CV_RMSE,VALID_RMSE,VALID_MAE,VALID_R2,BEST_PARAMS
Stage A–Chamber 1,Ridge,3.5555852607221197,3.8189577093802125,2.855346874796044,0.11777877088391997,"{""model__alpha"": 21.544346900318846}"
Stage A–Chamber 1,Random Forest,2.736541599434906,2.7734237627217158,2.1704593606436386,0.5347136943898267,"{""model__max_depth"": 10, ""model__max_features"": 0.9, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}"
Stage A–Chamber 1,Extra Trees,2.71882817864153,2.8339391708803054,2.1505527132225097,0.5141873108629169,"{""model__max_depth"": 10, ""model__max_features"": 0.9, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}"
Stage A–Chamber 1,HistGradientBoosting,2.7628228306826,2.8078370102970838,2.187179409809919,0.5230953089699686,"{""model__l2_regularization"": 10, ""model__learning_rate"": 0.05, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 15}"
Stage A–Chamber 1,XGBoost,2.840761527185242,3.0503780150028663,2.335526280827308,0.4371468119493602,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.1, ""model__max_depth"": 4, ""model__n_estimators"": 200, ""model__reg_lambda"": 10, ""model__subsample"": 0.8}"
Stage A–Chamber 1,CatBoost,2.8398667553942754,2.9664607911961034,2.220889930328223,0.4676895023923301,"{""model__depth"": 4, ""model__iterations"": 200, ""model__l2_leaf_reg"": 3, ""model__learning_rate"": 0.05}"
Stage A–Chamber 4,Ridge,6.038431276550953,6.753915300099049,4.3947114047412565,0.008795385233825836,"{""model__alpha"": 21.544346900318846}"
Stage A–Chamber 4,Random Forest,3.396871312247034,2.9238072929400563,2.13276181699782,0.8142411192781953,"{""model__max_depth"": 10, ""model__max_features"": 0.9, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}"
Stage A–Chamber 4,Extra Trees,3.2633221200186857,3.0286935226078495,2.2495727638217016,0.8006745501141989,"{""model__max_depth"": 10, ""model__max_features"": 0.9, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}"
Stage A–Chamber 4,HistGradientBoosting,3.362644432556545,2.9786994717246786,2.2467308178294356,0.807200691331785,"{""model__l2_regularization"": 10, ""model__learning_rate"": 0.05, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 15}"
Stage A–Chamber 4,XGBoost,3.354655330557783,3.188137820914658,2.411919821744351,0.7791353200708984,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.1, ""model__max_depth"": 4, ""model__n_estimators"": 200, ""model__reg_lambda"": 10, ""model__subsample"": 0.8}"
Stage A–Chamber 4,CatBoost,3.5825706024047737,3.4564578353347657,2.722571289196601,0.7403940617937741,"{""model__depth"": 4, ""model__iterations"": 200, ""model__l2_leaf_reg"": 3, ""model__learning_rate"": 0.1}"
Stage B–Chamber 4,Ridge,21.900497642164584,5.324323569373355,4.312839696297823,0.6880875098496937,"{""model__alpha"": 21.544346900318846}"
Stage B–Chamber 4,Random Forest,4.076394466401399,3.7853130086315696,2.8565157827570116,0.8423450978309913,"{""model__max_depth"": 10, ""model__max_features"": 0.9, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}"
Stage B–Chamber 4,Extra Trees,3.7863527343179015,3.5510451837813464,2.7062661104852648,0.8612553385540552,"{""model__max_depth"": 10, ""model__max_features"": 0.9, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}"
Stage B–Chamber 4,HistGradientBoosting,3.8047091889177818,3.4738830397400595,2.62895254924936,0.8672195092233543,"{""model__l2_regularization"": 3, ""model__learning_rate"": 0.05, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 15}"
Stage B–Chamber 4,XGBoost,3.8512031586355477,3.4716874622890597,2.577649012702493,0.8673872970971639,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.1, ""model__max_depth"": 4, ""model__n_estimators"": 200, ""model__reg_lambda"": 10, ""model__subsample"": 0.8}"
Stage B–Chamber 4,CatBoost,3.931507869174151,3.5663909191793564,2.689844219191685,0.8600535856858622,"{""model__depth"": 4, ""model__iterations"": 200, ""model__l2_leaf_reg"": 3, ""model__learning_rate"": 0.1}"
