REGIME,SENSOR,IMPORTANCE,RANK
Stage A–Chamber 1,PRESSURIZED_CHAMBER_PRESSURE,0.0003115014336657988,8.0
Stage A–Chamber 1,MAIN_OUTER_AIR_BAG_PRESSURE,0.0003839342955047324,7.0
Stage A–Chamber 1,CENTER_AIR_BAG_PRESSURE,0.0030411554581701713,3.0
Stage A–Chamber 1,RETAINER_RING_PRESSURE,0.005719850155249547,2.0
Stage A–Chamber 1,RIPPLE_AIR_BAG_PRESSURE,0.0005954982565339624,5.0
Stage A–Chamber 1,SLURRY_FLOW_LINE_A,0.0,10.0
Stage A–Chamber 1,SLURRY_FLOW_LINE_B,0.0,11.0
Stage A–Chamber 1,SLURRY_FLOW_LINE_C,0.0,12.0
Stage A–Chamber 1,WAFER_ROTATION,0.0005623355145145818,6.0
Stage A–Chamber 1,STAGE_ROTATION,0.0,13.0
Stage A–Chamber 1,HEAD_ROTATION,0.007677523698948629,1.0
Stage A–Chamber 1,DRESSING_WATER_STATUS,0.001981900583954251,4.0
Stage A–Chamber 1,EDGE_AIR_BAG_PRESSURE,0.0001956338200294283,9.0
Stage A–Chamber 4,PRESSURIZED_CHAMBER_PRESSURE,0.0557852615249289,4.0
Stage A–Chamber 4,MAIN_OUTER_AIR_BAG_PRESSURE,0.0345646636773029,7.0
Stage A–Chamber 4,CENTER_AIR_BAG_PRESSURE,0.03984582903086607,5.0
Stage A–Chamber 4,RETAINER_RING_PRESSURE,0.03446531398458159,8.0
Stage A–Chamber 4,RIPPLE_AIR_BAG_PRESSURE,0.019231731042589573,10.0
Stage A–Chamber 4,SLURRY_FLOW_LINE_A,0.06696929127116198,2.0
Stage A–Chamber 4,SLURRY_FLOW_LINE_B,0.005055412934578148,12.0
Stage A–Chamber 4,SLURRY_FLOW_LINE_C,0.061234369318756934,3.0
Stage A–Chamber 4,WAFER_ROTATION,0.035861133827909966,6.0
Stage A–Chamber 4,STAGE_ROTATION,0.00040953510251047953,13.0
Stage A–Chamber 4,HEAD_ROTATION,0.023242426742693865,9.0
Stage A–Chamber 4,DRESSING_WATER_STATUS,0.015722642748373487,11.0
Stage A–Chamber 4,EDGE_AIR_BAG_PRESSURE,0.08392180998892237,1.0
Stage B–Chamber 4,PRESSURIZED_CHAMBER_PRESSURE,0.08616423873085133,5.0
Stage B–Chamber 4,MAIN_OUTER_AIR_BAG_PRESSURE,0.01047860710193902,12.0
Stage B–Chamber 4,CENTER_AIR_BAG_PRESSURE,0.12300631507107865,3.0
Stage B–Chamber 4,RETAINER_RING_PRESSURE,0.1907013904569509,2.0
Stage B–Chamber 4,RIPPLE_AIR_BAG_PRESSURE,0.046399597270752754,7.0
Stage B–Chamber 4,SLURRY_FLOW_LINE_A,0.22255922210520016,1.0
Stage B–Chamber 4,SLURRY_FLOW_LINE_B,0.0006843328517831537,13.0
Stage B–Chamber 4,SLURRY_FLOW_LINE_C,0.11577168129148557,4.0
Stage B–Chamber 4,WAFER_ROTATION,0.08565268613594768,6.0
Stage B–Chamber 4,STAGE_ROTATION,0.04615171918177966,8.0
Stage B–Chamber 4,HEAD_ROTATION,0.024669101283363186,9.0
Stage B–Chamber 4,DRESSING_WATER_STATUS,0.019366224322779384,11.0
Stage B–Chamber 4,EDGE_AIR_BAG_PRESSURE,0.019455045756895325,10.0
